{'lon': 0.0, 's2': -0.18, 's1': 15.67, 'sp': nan, 'linux_time': 1484700515.8116, 'a_z': 1.0513, 'a_y': -0.0145, 'a_x': -0.0086, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 408.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.2, 's1': 17.43, 'sp': nan, 'linux_time': 1484700515.8289, 'a_z': 1.0483, 'a_y': -0.0115, 'a_x': -0.0101, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 196.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.2, 's1': 18.13, 'sp': nan, 'linux_time': 1484700515.8461, 'a_z': 1.0452, 'a_y': -0.0142, 'a_x': -0.0101, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 198.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.23, 's1': 17.39, 'sp': nan, 'linux_time': 1484700515.8634, 'a_z': 1.0624, 'a_y': -0.0142, 'a_x': -0.0051, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 203.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.22, 's1': 17.7, 'sp': nan, 'linux_time': 1484700515.8807, 'a_z': 1.0624, 'a_y': -0.0153, 'a_x': -0.0125, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 185.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.2, 's1': 17.05, 'sp': nan, 'linux_time': 1484700515.8979, 'a_z': 1.0634, 'a_y': -0.0181, 'a_x': -0.0128, 'p': 100972.6646, 't': 22.2816, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': -197.0, 'alt': nan, 'b1': 3.328}
{'lon': 0.0, 's2': -0.2, 's1': 17.45, 'sp': nan, 'linux_time': 1484700515.9154, 'a_z': 1.0615, 'a_y': -0.0162, 'a_x': -0.0049, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 192.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.21, 's1': 18.0, 'sp': nan, 'linux_time': 1484700515.9327, 'a_z': 1.0659, 'a_y': -0.0089, 'a_x': -0.0005, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 200.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.19, 's1': 18.42, 'sp': nan, 'linux_time': 1484700515.9499, 'a_z': 1.0345, 'a_y': -0.0108, 'a_x': -0.0098, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 122.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.21, 's1': 17.57, 'sp': nan, 'linux_time': 1484700515.9672, 'a_z': 1.0616, 'a_y': -0.0094, 'a_x': -0.0098, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 196.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.19, 's1': 18.14, 'sp': nan, 'linux_time': 1484700515.9845, 'a_z': 1.0753, 'a_y': -0.0094, 'a_x': -0.0103, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 190.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.19, 's1': 16.35, 'sp': nan, 'linux_time': 1484700516.0017, 'a_z': 1.0759, 'a_y': -0.0125, 'a_x': -0.0103, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 199.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.23, 's1': 19.02, 'sp': nan, 'linux_time': 1484700516.0191, 'a_z': 1.0446, 'a_y': -0.02, 'a_x': -0.0035, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 211.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.21, 's1': 14.94, 'sp': nan, 'linux_time': 1484700516.0363, 'a_z': 1.0602, 'a_y': -0.0197, 'a_x': -0.0035, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 160.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.19, 's1': 17.92, 'sp': nan, 'linux_time': 1484700516.0537, 'a_z': 1.0513, 'a_y': -0.0178, 'a_x': -0.0051, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 202.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.2, 's1': 15.93, 'sp': nan, 'linux_time': 1484700516.0715, 'a_z': 1.0507, 'a_y': -0.0153, 'a_x': -0.012, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 182.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.25, 's1': 14.98, 'sp': nan, 'linux_time': 1484700516.0894, 'a_z': 1.0585, 'a_y': -0.0123, 'a_x': -0.0077, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 165.0, 'alt': nan, 'b1': 3.456}
{'lon': 0.0, 's2': -0.24, 's1': 17.52, 'sp': nan, 'linux_time': 1484700516.1071, 'a_z': 1.0535, 'a_y': -0.0125, 'a_x': -0.0077, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': 0.0, 'c2': -2.0, 'c1': 173.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.16, 's1': 13.02, 'sp': nan, 'linux_time': 1484700516.1257, 'a_z': 1.0712, 'a_y': -0.0004, 'a_x': -0.0068, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 160.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.18, 's1': 15.97, 'sp': nan, 'linux_time': 1484700516.1435, 'a_z': 1.0612, 'a_y': -0.0161, 'a_x': -0.0058, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 164.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.14, 's1': 15.3, 'sp': nan, 'linux_time': 1484700516.161, 'a_z': 1.0612, 'a_y': -0.0154, 'a_x': -0.0085, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 157.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.23, 's1': 12.57, 'sp': nan, 'linux_time': 1484700516.1787, 'a_z': 1.0679, 'a_y': -0.0153, 'a_x': -0.0122, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 154.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.21, 's1': 17.33, 'sp': nan, 'linux_time': 1484700516.1962, 'a_z': 1.0656, 'a_y': -0.0168, 'a_x': -0.0112, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 188.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.18, 's1': 16.17, 'sp': nan, 'linux_time': 1484700516.2137, 'a_z': 1.0754, 'a_y': -0.0165, 'a_x': -0.0033, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 178.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.2, 's1': 16.34, 'sp': nan, 'linux_time': 1484700516.231, 'a_z': 1.0492, 'a_y': -0.0131, 'a_x': -0.0079, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 175.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.2, 's1': 18.18, 'sp': nan, 'linux_time': 1484700516.2482, 'a_z': 1.0638, 'a_y': -0.0167, 'a_x': -0.0079, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 184.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.18, 's1': 17.29, 'sp': nan, 'linux_time': 1484700516.2655, 'a_z': 1.0653, 'a_y': -0.0167, 'a_x': -0.0111, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 185.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.18, 's1': 18.12, 'sp': nan, 'linux_time': 1484700516.2828, 'a_z': 1.0724, 'a_y': -0.0132, 'a_x': -0.0077, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 192.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.19, 's1': 18.48, 'sp': nan, 'linux_time': 1484700516.3, 'a_z': 1.0724, 'a_y': -0.0187, 'a_x': -0.0067, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 185.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.2, 's1': 15.92, 'sp': nan, 'linux_time': 1484700516.3173, 'a_z': 1.0519, 'a_y': -0.0179, 'a_x': -0.0107, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 178.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.16, 's1': 17.19, 'sp': nan, 'linux_time': 1484700516.3345, 'a_z': 1.0585, 'a_y': -0.0175, 'a_x': -0.0016, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 204.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.19, 's1': 18.1, 'sp': nan, 'linux_time': 1484700516.3518, 'a_z': 1.0611, 'a_y': -0.0154, 'a_x': -0.0037, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 192.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.2, 's1': 17.26, 'sp': nan, 'linux_time': 1484700516.369, 'a_z': 1.0447, 'a_y': -0.0104, 'a_x': -0.0037, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 198.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.17, 's1': 18.42, 'sp': nan, 'linux_time': 1484700516.3863, 'a_z': 1.0425, 'a_y': -0.0104, 'a_x': -0.0082, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 177.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.2, 's1': 15.75, 'sp': nan, 'linux_time': 1484700516.4036, 'a_z': 1.0452, 'a_y': -0.0133, 'a_x': -0.0176, 'p': 100971.2211, 't': 22.2654, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 191.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.2, 's1': 17.12, 'sp': nan, 'linux_time': 1484700516.4209, 'a_z': 1.0452, 'a_y': -0.015, 'a_x': -0.006, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 187.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.19, 's1': 17.1, 'sp': nan, 'linux_time': 1484700516.4381, 'a_z': 1.0527, 'a_y': -0.0171, 'a_x': -0.0087, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 181.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.22, 's1': 19.93, 'sp': nan, 'linux_time': 1484700516.4554, 'a_z': 1.052, 'a_y': -0.0165, 'a_x': -0.0094, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 181.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.23, 's1': 18.02, 'sp': nan, 'linux_time': 1484700516.4726, 'a_z': 1.0539, 'a_y': -0.0152, 'a_x': -0.0063, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 200.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.25, 's1': 17.99, 'sp': nan, 'linux_time': 1484700516.4899, 'a_z': 1.0624, 'a_y': -0.014, 'a_x': -0.0063, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 198.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.26, 's1': 18.9, 'sp': nan, 'linux_time': 1484700516.5071, 'a_z': 1.0526, 'a_y': -0.014, 'a_x': -0.0012, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 220.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.21, 's1': 16.7, 'sp': nan, 'linux_time': 1484700516.5248, 'a_z': 1.0527, 'a_y': -0.0151, 'a_x': -0.0005, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 203.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.22, 's1': 15.49, 'sp': nan, 'linux_time': 1484700516.5422, 'a_z': 1.0527, 'a_y': -0.0172, 'a_x': -0.0087, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 211.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.23, 's1': 19.21, 'sp': nan, 'linux_time': 1484700516.5594, 'a_z': 1.0561, 'a_y': -0.014, 'a_x': -0.0065, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 184.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.25, 's1': 18.59, 'sp': nan, 'linux_time': 1484700516.5767, 'a_z': 1.0558, 'a_y': -0.0117, 'a_x': -0.0071, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 210.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.22, 's1': 19.07, 'sp': nan, 'linux_time': 1484700516.5939, 'a_z': 1.0501, 'a_y': -0.0126, 'a_x': -0.0086, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 186.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.24, 's1': 15.62, 'sp': nan, 'linux_time': 1484700516.6112, 'a_z': 1.0704, 'a_y': -0.0184, 'a_x': -0.0086, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 204.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.22, 's1': 16.96, 'sp': nan, 'linux_time': 1484700516.6284, 'a_z': 1.0421, 'a_y': -0.0172, 'a_x': -0.009, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 202.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.25, 's1': 17.63, 'sp': nan, 'linux_time': 1484700516.6457, 'a_z': 1.0584, 'a_y': -0.0172, 'a_x': -0.0065, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 197.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.23, 's1': 19.82, 'sp': nan, 'linux_time': 1484700516.6629, 'a_z': 1.0584, 'a_y': -0.0138, 'a_x': -0.0123, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 194.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.24, 's1': 18.27, 'sp': nan, 'linux_time': 1484700516.6802, 'a_z': 1.0615, 'a_y': -0.0145, 'a_x': -0.0056, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 183.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.22, 's1': 19.36, 'sp': nan, 'linux_time': 1484700516.6976, 'a_z': 1.0418, 'a_y': -0.0133, 'a_x': -0.0042, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 191.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.22, 's1': 16.74, 'sp': nan, 'linux_time': 1484700516.7148, 'a_z': 1.0657, 'a_y': -0.0155, 'a_x': -0.0118, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 190.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.25, 's1': 19.17, 'sp': nan, 'linux_time': 1484700516.7321, 'a_z': 1.0637, 'a_y': -0.0146, 'a_x': -0.0182, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 193.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.25, 's1': 17.44, 'sp': nan, 'linux_time': 1484700516.7493, 'a_z': 1.0567, 'a_y': -0.0118, 'a_x': -0.0182, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 205.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.21, 's1': 19.4, 'sp': nan, 'linux_time': 1484700516.7666, 'a_z': 1.0498, 'a_y': -0.0118, 'a_x': -0.0034, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 203.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.21, 's1': 16.84, 'sp': nan, 'linux_time': 1484700516.7838, 'a_z': 1.0498, 'a_y': -0.0149, 'a_x': -0.0075, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 190.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.24, 's1': 18.64, 'sp': nan, 'linux_time': 1484700516.8011, 'a_z': 1.0594, 'a_y': -0.016, 'a_x': -0.0017, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 204.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.23, 's1': 19.05, 'sp': nan, 'linux_time': 1484700516.8183, 'a_z': 1.0558, 'a_y': -0.017, 'a_x': -0.0062, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 181.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.21, 's1': 17.23, 'sp': nan, 'linux_time': 1484700516.8356, 'a_z': 1.0474, 'a_y': -0.0165, 'a_x': -0.013, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 206.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.19, 's1': 19.38, 'sp': nan, 'linux_time': 1484700516.8528, 'a_z': 1.0345, 'a_y': -0.0125, 'a_x': -0.0096, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 190.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.22, 's1': 15.15, 'sp': nan, 'linux_time': 1484700516.8701, 'a_z': 1.0347, 'a_y': -0.0128, 'a_x': -0.0096, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 198.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.21, 's1': 18.38, 'sp': nan, 'linux_time': 1484700516.8873, 'a_z': 1.0578, 'a_y': -0.0128, 'a_x': -0.0076, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 198.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.25, 's1': 17.59, 'sp': nan, 'linux_time': 1484700516.9046, 'a_z': 1.0578, 'a_y': -0.017, 'a_x': -0.0104, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -2.0, 'c1': 204.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.23, 's1': 19.25, 'sp': nan, 'linux_time': 1484700516.9219, 'a_z': 1.0522, 'a_y': -0.015, 'a_x': -0.0078, 'p': 100969.8474, 't': 22.2507, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 202.0, 'alt': nan, 'b1': 3.456}
{'lon': nan, 's2': -0.19, 's1': 17.78, 'sp': nan, 'linux_time': 1484700516.9391, 'a_z': 1.0531, 'a_y': -0.012, 'a_x': -0.0065, 'p': 100968.6688, 't': 22.2373, 'b2': 0.896, 'lat': nan, 'c2': -3.0, 'c1': 199.0, 'alt': nan, 'b1': 3.456}
